id_producto,Nombre,precio_compra,nombre_etiqueta
2631,LIMPIAPIPAS AZUL,0.15,LIMPIAPIPAS AZUL
2633,LIMPIAPIPAS MORADO,0.15,LIMPIAPIPAS MORADO
2634,LIMPIAPIPAS COBRE,0.15,LIMPIAPIPAS NARANJA
2636,LIMPIAPIPAS ORO,0.15,LIMPIAPIPAS ORO
2637,LIMPIAPIPAS PLATA,0.15,LIMPIAPIPAS PLATA
2638,LIMPIAPIPAS ROJO,0.15,LIMPIAPIPAS ROJO
2761,METRO MANGUERA LED CARAMELO,0.8,METRO MANGUERA LED CARAMELO
2987,BOLSA DE EMPAQUE CHICA,1,BOLSA DE EMPAQUE CHICA
2988,BOLSA DE EMPAQUE MEDIANA,1,BOLSA DE EMPAQUE MEDIANA
2989,BOLSA DE EMPAQUE GRANDE,1,BOLSA DE EMPAQUE GRANDE
2991,BOLSA DE CINCHOS CHICO,1,BOLSA DE CINCHOS CHICO
2994,ROLLO P/IMPRESORA DE TICKETS,1,ROLLO P/IMPRESORA DE TICKETS
2995,CINTA CANELA PIEZA,1,CINTA CANELA PIEZA
2996,DIUREX CHICO PIEZA,1,DIUREX CHICO PIEZA
2999,CONTROL PARA MANGUERA FIJA,1,CONECTORES PARA MANGUERA FIJA
3000,CONTROL P/MANGUERA DE MOVIMIENTO,1,CONTROL P/MANGUERA DE MOVIMIENTO
3001,CONTROL P/ TIRA LED BLANCA,1,CONECTORES P/ TIRA LED BLANCA
3002,CONTROL P/ TIRA LED COLOR,1,CONECTORES P/ TIRA LED COLOR
3273,CASCADA V8 LED 500L BLANCA ,298,CASCADA V8 LED 500L BLANCA C/BCO
3274,CASCADA V8 LED 500L COLOR ,298,CASCADA V8 LED 500L COLOR C/BCO
2260,REGALITO MINI PLATA ,1,REGALITO MINI PLATA 
2265,MO—O ARROZ BLANCO ,1,MO—O ARROZ BLANCO 
2266,MO—O ARROZ BCO/COLOR ,1,MO—O ARROZ BCO/COLOR 
2273,MO—O LED ORGANZA BCO ,1,MO—O LED ORGANZA BCO 
3092,6.5CM BALANCEO DE SCOOTER 6P20,1,6.5CM BALANCEO D/SCOOTER 6P20
3093,8CM BALANCEO DE SCOOTER 6P21,1,8CM BALANCEO D/SCOOTER 6P21
3094,10CM BALANCEO DE SCOOTER 6P24,1,10CM BALANCEO D/SCOOTER 6P24
3095,PATIN PLEGABLE 2 RUEDAS ALUM. S001,1,PATIN 2 RUEDAS ALUMINIO S001
3096,PATIN DEL DIABLO PLEGABLE 3 RUEDAS ALUM. S002,1,PATIN DEL DIABLO 3 RUEDAS ALUM. S002
3097,PATIN DEL DIABLO PLEGABLE 2 RUEDAS ALUM. S004,1,PATIN DEL DIABLO 2 RUEDAS ALUM. S004
3098,PATIN DEL DIABLO PLEGABLE 3 RUEDAS ALUM. S005,1,PATIN DEL DIABLO 3 RUEDAS ALUM. S005
3099,PATIN DEL DIABLO PLEGABLE ADULTO S097,1,PATIN DEL DIABLO ADULTO S097
3100,PATIN DEL DIABLO PLEGABLE ADULTO S099,1,PATIN DEL DIABLO ADULTO S099
3101,PATIN DEL DIABLO PLEGABLE 2 RUEDAS S101,1,PATIN DEL DIABLO 2 RUEDAS S101
3102,PATINETA S300L,1,PATINETA S300L
3103,PATINETA REFUERZA S301L,1,PATINETA REFUERZA S301L
3104,PATINETA DE MOV. CON 2 RUEDAS S303L,1,PATINETA D/MOV. 2 RUEDAS S303L
3105,PATIN DEL DIABLO 2C- XH-S044,1,PATIN DEL DIABLO 2C- XH-S044
3107,PATINETA CHICA MODELO XH-S030S,1,PATINETA CH. MODELO XH-S030S
3108,PATINETA MEDIANA MODELO XH-S022M,1,PATINETA MED. MOD. XH-S022M
3110,PATIN DEL DIABLO MODELO XH-S011,1,PATIN DEL DIABLO MOD. XH-S011
3114,10CM BALANCEO DE SCOOTER 6P23,1,10CM BALANCEO SCOOTER 6P23
3115,8CM BALANCEO DE SCOOTER 6P22,1,8CM BALANCEO DE SCOOTER 6P22
2050,MARIPOSA MINI MORADO OSCURO 5935,2.13,MARIPOSA MINI MORADO OSCURO
2051,MARIPOSA MINI ORO 5935,2.13,MARIPOSA MINI ORO
2052,MARIPOSA MINI PLATA 5935,2.13,MARIPOSA MINI PLATA
2053,MARIPOSA MINI ROJO 5935,2.13,MARIPOSA MINI ROJO
2054,MARIPOSA MINI ROSA 5935,2.13,MARIPOSA MINI ROSA
2055,MARIPOSA MINI TURQUEZA 5935,2.13,MARIPOSA MINI TURQUEZA
2056,MARIPOSA MINI VERDE 5935,2.13,MARIPOSA MINI VERDE
2325,METRO DE FESTON AZUL,2.7492,METRO DE FESTON AZUL
2327,METRO DE FESTON MORADO,2.7492,METRO DE FESTON MORADO
2328,METRO DE FESTON ORO,2.7492,METRO DE FESTON ORO
2329,METRO DE FESTON PLATA,2.7492,METRO DE FESTON PLATA
2330,METRO DE FESTON ROJO,2.7492,METRO DE FESTON ROJO
2202,NOCHEBUENA GRANDE ROJA/VDE/LINO F02657-A ,3,NOCHEBUENA GRANDE ROJ/VD/LINO
2318,METRO LISTON ROJO/ORO P8-6018-44 ,3,METRO LISTON ROJO/ORO
2331,METRO DE FESTON ROSA ,3,METRO DE FESTON ROSA 
2326,METRO DE FESTON BLANCO,3.5844,METRO DE FESTON BLANCO
2646,GANCHOS PARA ESFERA,3.71,GANCHOS PARA ESFERA
2104,HOJA MAPLE PLATA 5719,4.25,HOJA MAPLE PLATA
3248,HOJA MAPLE TURQUEZA 4751,4.25,HOJA MAPLE TURQUEZA
2059,MARIPOSA CHICA BLANCA 4762,4.59,MARIPOSA CHICA BLANCA
2060,MARIPOSA CHICA COBRE 4762,4.59,MARIPOSA CHICA COBRE
