id_producto,preio_mayoreo
2987,0
2988,0
2989,0
2990,0
2991,0
2992,0
2993,0
2994,0
2995,0
2996,0
2997,0
2998,0
2999,40
3000,50
3001,50
3002,60
3030,16
1809,25
1810,25
1811,45
1811,45
3156,45
3156,45
1812,49
1812,49
3157,45
3157,45
1813,49
1813,49
3129,45
3129,45
2657,44
1814,85
1814,85
3158,80
1815,85
1815,85
2658,0
1816,0
3159,85
3159,85
3160,85
3160,85
2659,90
2659,90
2660,90
2660,90
1817,95
1817,95
3161,90
3161,90
1818,0
1819,0
1820,35
1820,35
1821,35
1821,35
1822,35
1822,35
1823,35
1823,35
1824,35
1824,35
1825,35
1825,35
1826,35
1826,35
1827,35
1828,50
1829,50
1830,50
1831,50
1832,50
2661,50
2662,50
2663,50
2664,50
2665,0
1833,79
1833,79
1834,79
1835,79
2666,79
1836,0
2667,0
1837,79
1838,79
1839,0
2668,0
3116,70
3116,70
3117,70
3117,70
3118,79
3119,70
3119,70
3120,80
3120,80
3121,80
3121,80
3122,80
3122,80
3123,0
1840,145
1840,145
1841,0
1842,0
1843,145
1843,145
1844,145
1844,145
1845,200
1846,0
1847,0
1848,145
1848,145
1849,0
1850,145
1850,145
1851,0
1852,0
1853,120
1854,145
1854,145
2669,0
2670,145
2670,145
1855,0
1856,0
3162,0
1857,213
1858,213
1859,213
1860,200
2671,200
1861,213
2672,238
3153,200
1862,0
1863,0
1864,325
1865,325
3163,0
1866,100
1866,100
2673,90
2673,90
1867,60
1867,60
3164,60
3164,60
2674,96
3165,0
3166,65
3166,65
3167,70
3167,70
3168,70
1868,160
1868,160
1869,160
1869,160
1870,160
1871,160
1872,160
1873,160
1874,160
1875,160
2675,160
3054,240
3214,240
2676,240
1876,240
2677,353
1877,270
1878,0
1879,270
3037,180
3038,180
3055,270
1880,230
1881,230
3215,350
3216,350
2678,490
2679,490
2680,210
2681,210
3273,370
3274,370
3272,370
1882,126
1883,45
3169,55
3169,55
3170,55
3170,55
1884,120
1885,120
1886,50
1886,50
2682,83
1887,85
3171,79
3209,55
3209,55
3172,75
3172,75
3173,75
3173,75
1888,210
1889,210
1890,200
1890,200
1891,210
1892,210
2683,255
2684,255
3174,130
1893,108
1894,95
1895,0
1896,99
1897,45
1897,45
1898,149
1899,90
1900,60
1901,199
1902,199
1903,300
1904,300
1905,180
1906,180
1907,200
1908,200
1909,200
1910,55
1910,55
1911,0
1912,125
1913,159
1914,145
1915,0
1916,0
1917,530
1918,89
1919,0
2685,219
2686,0
2687,55
2687,55
3220,530
2688,130
2689,0
2690,45
2691,599
2692,649
2693,350
2694,302
2695,430
2696,285
2697,499
2698,399
2699,349
2700,0
2701,0
2702,0
2703,0
2704,482
2705,482
2706,482
2707,152
2708,417
2026,169
2027,193
2709,321
1995,630
2979,250
2979,250
2984,0
3008,330
3009,330
3010,600
3011,390
3012,600
3013,950
3014,780
3015,590
3016,690
3023,120
3004,0
3033,285
3034,340
3035,390
3040,169
3045,230
3046,265
3047,265
3048,279
3049,600
3053,630
3061,110
3061,110
3081,390
3111,220
3112,690
3124,890
3125,260
3130,260
3131,260
3132,260
3140,290
3141,130
3142,130
3143,390
3144,390
3145,390
3175,100
3176,60
3177,60
3178,80
3219,279
3221,199
3222,220
3223,390
3250,499
3251,499
3252,499
3106,90
3106,90
3278,630
1920,45
1921,45
1922,78
1923,78
1924,78
1925,62
1926,0
1927,112
1928,112
1929,112
1930,0
3179,60
3275,0
3276,0
2710,160
2711,160
1931,0
1932,130
1933,130
1934,99
1935,0
1936,0
1937,86
1938,184
1939,184
1940,184
3262,210
3263,210
3264,210
1949,87
1950,87
1951,0
1952,87
3146,50
3146,50
1955,41
1956,0
1957,50
1958,145
1958,145
1959,145
1959,145
1960,53
1961,101
1962,98
1963,115
1963,115
1964,115
1964,115
1965,115
1965,115
1966,83
1967,69
1968,60
1969,70
1970,158
1971,0
1972,82
1973,78
1974,0
1975,95
1976,320
1977,320
1978,145
1979,110
1980,195
1981,130
1982,90
1983,185
1984,149
1985,56
2712,80
2713,99
2714,34
2714,34
2715,38
2716,38
2718,220
2718,220
2719,45
2720,48
2721,41
2722,48
2723,48
2724,65
2725,75
2725,75
2726,75
2726,75
2727,149.5
2727,149.5
2728,149.5
2728,149.5
2729,149.5
2729,149.5
2730,149.5
2730,149.5
2731,70
2731,70
2732,105
2733,105
2734,110
2735,65
2735,65
2736,65
2736,65
2737,169
2738,169
2739,169
2946,0
2981,110
2981,110
2982,0
2982,0
2983,0
2983,0
3019,60
3019,60
3020,60
3020,60
3021,60
3021,60
3022,60
3022,60
3017,60
3017,60
3018,60
3018,60
3031,0
3032,0
3036,85
3036,85
3082,80
3086,80
3087,80
3088,110
3088,110
3090,90
3090,90
3091,145
3091,145
3089,115
3089,115
3126,115
3126,115
