ID de Producto,Ubicación de almacén
1809,A-13
1810,A-13
1811,A-13
3156,A-14
1812,A-14
3157,A-15
1813,A-16
3129,A-16 A-17
2657,A-18
3158,A-18
1814,A-18 A-19
1815,A-20
2658,A-21
1816,A-21
3159,A-21
3160,A-22
2659,A-22
2660,A-23 A-26
1817,A-26 A-27
3161,A-27 A-28
1819,A-28
1818,A-29
1820,A-29
1821,A-29
1822,A-29
1823,A-29
1824,A-29
1825,A-29
1826,A-29
1827,A-29
3198,A-29
1828,A-30
1829,A-30
1830,A-30
1831,A-31
1832,A-31
2661,A-31
2662,A-31
2663,A-31
2664,A-31
1833,A-32
1834,A-32
1835,A-33
1837,A-33
1838,A-33
3116,A-34
3117,A-34
3118,A-34
3119,A-35
3120,A-35
3121,A-35
3122,A-36
1840,B-14
1842,B-14
1843,B-15
1844,B-16
1845,B-16
1846,B-17
1847,B-17
1848,B-18
1849,B-18
1850,B-18
1853,B-19
2665,B-20
1836,B-20
2667,B-20
1839,B-20
2668,B-20
1852,B-20
1855,B-20
1862,B-20
2013,B-20
2666,B-20 A-32
1854,B-21
2669,B-21
2670,B-22
1857,B-23
1858,B-23
1859,B-25
1860,B-26 B-27
2671,B-27
1861,B-28
2672,B-29
3153,B-29
1864,B-30
1865,B-30
3163,B-33
3165,B-33
3167,B-33
3168,B-33
1870,B-33
1866,B-34
2673,B-34
1867,B-35
3164,B-36
3166,C-14
1868,C-14
1869,C-15
1875,C-16
2675,C-16
3214,C-16
2676,C-16
1882,C-16
1884,C-16
2682,C-16
1887,C-16
1891,C-16
1892,C-16
3174,C-16
1976,C-16
1977,C-16
2017,C-16
2712,C-18
1871,C-19
1872,C-20
1873,C-20
1874,C-21
3273,C-21
3262,C-21
3054,C-22
3274,C-22
2677,C-23
1877,C-23
3059,C-25 G-15
1879,C-26
3037,C-26
3038,C-27
3055,C-27
1880,C-28
3215,C-28
3216,C-28
2678,C-29
2679,C-30
2680,C-30
2681,C-30
3169,C-30
3170,C-31
1886,C-32
3171,C-32
3192,C-32
2041,C-32
3190,C-33
3197,C-33
3200,C-34 D-15
3191,C-35
3194,C-35  D-14
3193,C-36
3001,D-11
3002,D-11
3030,D-11
3130,D-13
3131,D-13
3132,D-13
3206,D-14
3199,D-15
3201,D-16
3202,D-17
3207,D-17
3209,D-17 D-18
3172,D-19
3173,D-19
1888,D-20
1889,D-20
1890,D-21
2683,D-21
2684,D-21
1920,D-21
1921,D-22
1925,D-22
3179,D-22
1898,D-23
2755,D-24 E-24
2710,D-26
2711,D-26
1923,D-27
1924,D-27
1927,D-27
1928,D-27
1932,D-27
1933,D-27
1934,D-27
1938,D-27
1939,D-27
1940,D-27
1949,D-27
1950,D-27
1952,D-27
1957,D-27
1968,D-27
2715,D-27
2716,D-27
2744,D-27
2047,D-27
1937,D-28
3203,D-28
3204,D-28 E-21
3146,D-29
1958,D-29 D-30
3264,D-30
1959,D-30  D-31
1963,D-31
1964,D-32
1965,D-32  D-33
1967,D-33
1960,D-34
1969,D-34
1970,D-34
1973,D-34
1982,D-34
1983,D-34
2720,D-34
1978,D-35
3036,D-35
1961,D-36
1980,D-36
2994,D-38
2995,D-38
1955,E-13
1981,E-13
2714,E-13
2718,E-14
1985,E-15
2724,E-15
2725,E-15
2727,E-15
3180,E-15
3187,E-15
3188,E-15
3205,E-15
2726,E-16
2728,E-17
2729,E-17
2730,E-18
2732,E-18
2733,E-18
2734,E-18
2735,E-19
2736,E-19
3133,E-19
2981,E-20
3217,E-20
2738,E-21
2739,E-21
2737,E-22
2982,E-22
2983,E-22
3019,E-22
3020,E-22
3087,E-22
3021,E-23
3022,E-23
3017,E-23
3018,E-23
2595,E-24
2596,E-24
2631,E-24
2633,E-24
2634,E-24
2636,E-24
2637,E-24
2638,E-24
2646,E-24
2647,E-24
2648,E-24
2649,E-24
2651,E-24
2652,E-24
2653,E-24
2594,E-25
3058,E-25 G-14
2932,E-26
2303,E-26
2316,E-26
2318,E-26
2593,E-26
2936,E-27
2937,E-27
2220,E-27
2221,E-27
2223,E-27
2225,E-27
2228,E-27
2230,E-27
2231,E-27
2232,E-27
2246,E-27
2249,E-27
2251,E-27
2265,E-27
2266,E-27
2273,E-27
2940,E-27
2314,E-27
2317,E-27
2187,E-28
2202,E-28
3254,E-28
2157,E-28
2158,E-28
2159,E-28
2160,E-28
2939,E-28
2162,E-28
2163,E-28
2164,E-28
2167,E-28
2173,E-28
2174,E-28
2177,E-28
2107,E-28
3233,E-28
2148,E-29
2149,E-29
2150,E-29
2152,E-29
2153,E-29
2155,E-29
2156,E-29
3244,E-30
3245,E-30
3246,E-30
3247,E-30
2138,E-30
2139,E-30
2140,E-30
2141,E-30
2143,E-30
2144,E-30
2145,E-30
2146,E-30
2147,E-30
2132,E-31
3232,E-31
3237,E-31
3238,E-31
3239,E-31
3249,E-31
3240,E-31
3241,E-31
2135,E-31
2938,E-31
3243,E-31
2120,E-32
2121,E-32
2122,E-32
2131,E-32
2129,E-32
2126,E-32
2127,E-32
2128,E-32
3228,E-32
3229,E-32
3231,E-32
2109,E-33
2110,E-33
2111,E-33
2113,E-33
2115,E-33
2117,E-33
2118,E-33
2119,E-33
2086,E-34
2088,E-34
2089,E-34
2090,E-34
2091,E-34
2092,E-34
2093,E-34
2094,E-34
2095,E-34
2096,E-34
2097,E-34
2098,E-34
2100,E-34
2101,E-34
2102,E-34
2103,E-34
2104,E-34
2105,E-34
3248,E-34
2065,E-35
2066,E-35
2067,E-35
2068,E-35
2070,E-35
2071,E-35
2072,E-35
2074,E-35
2075,E-35
2076,E-35
2077,E-35
2080,E-35
2081,E-35
3225,E-35
3226,E-35
2934,E-35
2935,E-35
2084,E-35
2085,E-35
2204,E-36
2050,E-36
2051,E-36
2052,E-36
2053,E-36
2054,E-36
2055,E-36
2056,E-36
2058,E-36
2059,E-36
2060,E-36
2061,E-36
2063,E-36
2064,E-36
3257,F.15
2858,F-13
2859,F-13
2860,F-13
2619,F-14
2621,F-14
2622,F-14
2624,F-14
2654,F-14
2836,F-15
2841,F-15
2835,F-15
2838,F-15
2837,F-15
2839,F-15
2575,F-15
2576,F-15
2843,F-15
2866,F-15
2868,F-15
2893,F-15
2895,F-15
2898,F-15
2899,F-15
2900,F-15
2901,F-15
2902,F-15
2903,F-15
2904,F-15
2905,F-15
2906,F-15
2907,F-15
