UBICACIÓN,SUCURSAL,ID PRODUCTO
10A,8,3220
10A,8,3125
"10A,11A",8,3140
"10A,9A",8,1917
10B,8,3215
10B,8,3216
10C,8,1872
10C,8,1873
10C,8,1874
10C,8,1875
10C,8,3169
10D,8,2670
10D,8,3264
10E,8,3156
10E,8,3157
10E,8,2657
10E,8,3128
"10E,11E",8,1811
10F,8,1854
10F,8,1857
10F,8,3278
11A,8,3081
11A,8,3141
11A,8,3142
11B,8,1879
11B,8,3037
11B,8,3038
11B,8,3055
11B,8,1880
11C,8,2694
11C,8,3193
11C,8,3200
"11C,10C",8,1871
11D,8,1848
11D,8,1850
11D,8,1853
11D,8,3263
11E,8,1833
11E,8,1834
11E,8,1835
11E,8,2666
11E,8,1837
11E,8,1838
11E,8,3116
11E,8,3117
11F,8,3161
12A,8,3143
12A,8,3144
12A,8,3079
12B,8,2673
12B,8,3054
12B,8,2677
12B,8,1877
12C,8,3153
12C,8,1913
12C,8,2685
12C,8,3152
12D,8,3122
12D,8,1844
12D,8,1845
12D,8,1846
12E,8,1830
12E,8,1831
12E,8,1832
12E,8,2662
12E,8,2663
12E,8,2664
12F,8,2659
12F,8,2660
12F,8,1817
12F,8,2661
12F,8,3253
13A,8,3012
13A,8,3223
13B,8,1866
13B,8,3195
13B,8,3196
13B,8,3197
13B,8,3199
13B,8,3206
13C,8,1860
13C,8,2671
13C,8,3163
13C,8,1940
13D,8,3120
13D,8,1840
13D,8,1842
13D,8,1843
13D,8,3262
13E,8,1821
13E,8,1822
13E,8,1823
13E,8,1824
13E,8,1825
13E,8,1826
13E,8,1828
13E,8,1829
13F,8,1814
13F ,8,1815
14A,8,2698
14A,8,2699
14A,8,3015
14A,8,3016
14B,8,2767
14B,8,2768
14B,8,2769
14B,8,2770
14B,8,2771
14B,8,2772
14C,8,2758
14C,8,2759
14C,8,2760
14C,8,2761
14C,8,2007
14C,8,2008
14C,8,2762
14C,8,2763
1A,8,3011
1A,8,3035
1B,8,1957
1C,8,1958
1C,8,1959
1C,8,3091
