Columna1,Columna2,Columna3
,3,1808
SEC-1 D-6,3,1811
SEC- 1 C-6,3,1814
SEC-1 C-6,3,1815
 SEC-1 B-5,3,1817
SEC-1 D-5,3,1821
SEC-1 D-5,3,1822
SEC-1 D-5,3,1823
SEC-1 D-5,3,1824
SEC-1 D-5,3,1825
SEC-5 D-5,3,1826
SEC-1 D-5,3,1828
SEC-1 D-5,3,1829
SEC-1 D-5,3,1830
SEC-1 D-5,3,1831
SEC-1 D-6,3,1832
SEC-1 C-6,3,1833
SEC-1 C-6,3,1834
SEC-1 C-6,3,1835
SEC-1 C-5,3,1837
SEC-1 C-5,3,1838
SEC-1 G-6,3,1840
SEC-1 G-6,3,1842
SEC-1 G-6,3,1843
SEC-1 G-6,3,1844
SEC-1 H-6,3,1845
SEC-1 H-6,3,1846
SEC-1 H-6,3,1847
SEC-1 H-6,3,1848
,3,1849
SEC-1 I-5,3,1850
SEC-1 I-5,3,1853
SEC-1 I-5,3,1854
SEC-1 J-5,3,1857
SEC-1 I-4,3,1858
SEC-1 I-4,3,1859
SEC-1 H-5,3,1860
SEC-1 H-5,3,1861
,3,1862
SEC-1 I-1,3,1864
SEC-1 J-1,3,1865
SEC-1 G-4,3,1866
SEC-1 G-4,3,1867
SEC-1 G-4,3,1868
SEC-1 H-4,3,1869
SEC-1 H-4,3,1871
SEC-1 H-4,3,1872
SEC-1 H-4,3,1873
SEC-1 I-3,3,1874
SEC-1 I-3,3,1875
SEC-1 I-3,3,1877
SEC-1 I-3,3,1879
SEC-1 J-3,3,1880
SEC-1 G-3,3,1882
SEC-3 G-3,3,1886
SEC-1 H-3,3,1888
SEC-1 H-3,3,1889
SEC-1 H-3,3,1890
SEC-1 I-2,3,1897
SEC-1 A-1,3,1898
SEC-1 E-2,3,1904
SEC-1 E-1,3,1906
SEC-1 E-2,3,1907
SEC-1 E-2,3,1909
SEC-1 H-1,3,1910
SEC-1 H-1,3,1913
SEC-1 G-2,3,1914
SEC-1 G-1,3,1917
SEC-1 B-5,3,1920
SEC-1 B-5,3,1921
SEC-1 B-5,3,1925
,3,1932
,3,1933
SEC-1 B-3,3,1934
SEC-1 C-5,3,1937
SEC-1 A-2,3,1940
SEC-1 D-4,3,1941
SEC-1 D-4,3,1942
SEC-1 D-4,3,1943
SEC-1 D-4,3,1946
SEC-1 D-4,3,1947
SEC-1 D-4,3,1948
SEC-1 C-3,3,1949
SEC-1 C-3,3,1950
SEC-1 D-2,3,1953
SEC-1 D-2,3,1954
SEC-1 A-3,3,1955
SEC-1 A-3,3,1957
SEC-1 I-1,3,1958
SEC-1 I-1,3,1959
,3,1960
SEC-1 B-3,3,1961
SEC-1 A-5,3,1963
SECI-1 B-5,3,1964
SEC-1 A-1,3,1965
SEC-1 C-5,3,1967
SEC-1 A-3,3,1968
SEC-1 B-3,3,1969
SEC-1 C-4,3,1973
SEC-1 B-4,3,1978
SEC-1 C-2,3,1981
SEC-1 C-4,3,1982
SEC-1 A-4,3,1985
,3,1986
SEC-1 D-2,3,1987
SEC-1 G-6,3,1989
SEC-1 H-6,3,1991
SEC-1 H-6,3,1992
SEC-1 K-3,3,1997
SEC-1 I-5,3,2000
SEC-1 J-5,3,2002
SEC-1 K-4,3,2003
SEC-1 E-5,3,2004
SEC-1 E-5,3,2006
,3,2007
,3,2008
,3,2050
,3,2051
,3,2052
