ID PRODUCTO,ORDEN DE LISTA,NOMBRE DE PRODUCTO,INVENTARIO
2965,27282,Vara Blanca DL05081,12
3188,27133,Palma Chica Roja M10011,15
3471,27142,Vara de Estrellas Blanca F054851,16
2936,28050,Nochebuena Oro DL64014,16
1951,28041,Nochebuena Azul Marino DL64014,17
3480,24312,Vara con Esferitas X6 Plata M78007,19
2250,27322,Vara c/Acrilico Blanca SEM4425W,24
3444,28075,Nochebuena c/Clip Rosa N06691,24
1949,20236,Flor Pedreria Chica Verde A05287,25
2178,24010,Hojita Oro C21058,25
2088,23001,Mariposa Mediana Azul Marino W4763,26
2060,20124,Mariposa Chica Cobre W4762,28
3483,29010,Berry Rojo K63333,29
3243,24130,Vara Tipo Coral Oro  S66845,33
2937,28053,Nochebuena Roja  DL64014,33
2911,20051,Malla Corta Azul Marino CSM02,34
3493,27242,Hoja Dinero Blanca M63006,36
3226,22033,Nochebuena Chica Roja S05090,42
2070,22001,Nochebuena Chica Azul Marino F054771,47
2069,25053,Nochebuena Roja N63666,48
2158,28312,Nochebuena Terciopelo Chica Plata R05923,48
2191,23236,Flor Pedreria Verde A05152,49
2179,24012,Hojita Plata C21058,49
2145,28004,Nochebuena Diamantada Chica Cobre M05124,49
3254,28042,Nochebuena Blanca DL64014,54
2156,28307,Nochebuena Terciopelo Chica Morada R05923,60
2213,20026,Malla Oro SM33,63
3520,28153,Pick nochebuena Rojo F89135,63
2144,28002,Nochebuena Diamantada Chica Blanca M05124,66
2180,24013,Hojita Roja C21058,68
3238,27082,Helecho Mediano Blanco M21124,69
2110,23224,Flor Pedreria Cobre A05152,71
3475,25212,Vara de Nochebuena X3 Plata M05136,75
2076,22013,Nochebuena Chica Roja F054771,81
2068,20131,Mariposa Chica Oro Rosado W4762,82
2054,20114,Mariposa Mini Rosa R05935,96
3463,23002,Mariposa Mediana Blanca A05286,96
3522,23138,Regalo con Tiras Plata/Morado A05102,96
3481,24313,Vara con Esferitas X6 Rojo M78007,96
3593,22031,Pick Nochebuena Oro Rosado N05090,97
2163,28071,Nochebuena c/Clip Oro Rosado N06691,99
3515,23062,Pick de Aro Blanco C05482,104
2209,20016,Malla Blanco/plata Sm17,111
3478,24303,Vara con Esferitas X6 Chocolate  M78007,115
2152,28016,Nochebuena Diamantada Chica Verde M05124,119
3595,20156,Pick Figuras x3 Rojo/Verde,120
2139,27022,Ramita Plata F78089,122
3514,20153,Pick Figuras X3 Ro/Tur/Bco,127
3229,22050,Nochebuena Oro M05159,134
2132,29005,Berries F02376,134
3699,20066,Malla Corta Chocolate CSM12,148
3701,20012,Malla Beige MFR-51,154
3233,25223,Vara Nochebuena X3 Champange M01587,165
3472,27156,Vara de Estrellas Verde F054851,168
3476,25213,Vara de Nochebuena X3 Rojo M05136,180
2210,20001,Malla Amarilla MFR83,187
3230,22052,Nochebuena Plata M05159,187
3482,24316,Vara con Esferitas X6 Verde M78007,190
3519,23111,Pick Skimmia Oro Rosado N05104,192
2130,27056,Rama Verde W4852 - C05017,192
3700,20017,Malla Blanco Tornasol Sm03,197
2056,20116,Mariposa Mini Verde R05935,202
2215,20032,Malla Roja MF17,208
3503,27410,Hoja Maple x5 Oro DL05072,213
3470,27310,Vara con Bolitas Oro A05142,230
3465,27054,Rama Rosa W4852,240
2959,29033,Berry Rojo F66602,251
3487,24332,Ramita de Granadas Plata R02858,262
3697,20033,Malla Roja SM-13,268
3523,23139,Regalo con Tiras Rojo/Oro A05102,269
2967,27293,Vara Roja DL05081,280
3502,27402,Hoja Maple x5 Blanca DL05072,286
2061,20127,Mariposa Chica Morada Obscura W4762,288
3241,27096,Helecho Mediano Verde M21124,288
2107,27010,Hoja M21114 Oro,303
3474,25210,Vara de Nochebuena X3 Oro M05136,335
2128,27055,Rama Turquesa C05017,335
3508,23052,Pick de Flor X3 Plata M05262-1,336
2257,27273,Hoja Roja M63078,336
3497,27210,Hoja Oro M66032,352
3712,20018,Malla Blanca MFR50,360
3498,27370,Hoja Oro S05214,360
2961,27102,Hoja Chica Blanca R21240,384
3232,29001,Berries Nevados S36088,390
2055,20115,Mariposa Mini Turquesa R05935,391
2085,24412,Estrellitas Plata M10009,408
3473,27170,Vara 18 Oro S66835,421
2095,23012,Mariposa Mediana Plata W4763 - A05286,427
2074,22010,Nochebuena Chica Oro F054771,437
2952,27092,Helecho Mediano Plata M21124,440
3521,23130,Regalo con Tiras Oro A05102,455
3467,27103,Hoja Chica Chocolate R21240,474
3494,27250,Hoja Dinero Oro M63006,475
2185,23016,Mariposa Mediana Verde W4763,497
3510,26010,Pick de Bolitas Oro YV3148,501
3513,26016,Pick de Bolitas Verde YV3148,518
2050,20107,Mariposa Mini Morada Obscura R05935,520
2058,20121,Mariposa Chica Azul Marino W4762,528
3518,23090,Pick de Pino Oro M05233,546
2118,25022,Nochebuena Blanca M05210,561
2150,28013,Nochebuena Diamantada Chica Roja M05124,561
2117,25021,Nochebuena Azul Marino M05210,570
2162,28062,Nochebuena c/Clip Blanco Perla N06691,576
2135,24430,Hoja de Estrellitas Oro C05277,590
2155,28304,Nochebuena Terciopelo Chica Cobre R05923,607
3500,24172,Hoja Maple x3 Plata C05236,636
3698,20076,Malla Corta Oro CSM-11,650
3507,23050,Pick de Flor X3 Oro M05262-1,672
2101,28343,Nochebuena Diaman Champange R05922,689
3509,23053,Pick de Flor X3 Roja M05262-1,691
2075,22012,Nochebuena Chica Plata F054771,719
2067,20136,Mariposa Chica Verde W4762,720
2963,27113,Hoja Chica Roja R21240,720
2159,28313,Nochebuena Terciopelo Chica Roja R05923,747
3492,27213,Hoja Roja M66032,760
3511,26012,Pick de Bolitas Plata YV3148,768
3469,24416,Estrellitas Verde  M10009,778
2146,28007,Nochebuena Diamantada Chica Morada Obscura M05124,786
2096,23013,Mariposa Mediana Roja W4763 -A05286,791
2066,20135,Mariposa Chica Turquesa W4762,811
3464,28333,Nochebuena Terciopelo Rojo RK05928,883
2259,28133,Nochebuena Roja W06273,902
3516,25131,Pick 3 Nochebuenas Oro Rosado N05129,948
2094,23010,Mariposa Mediana Oro W4763 - A05286,954
3491,24042,Hoja Blanca M21113,985
2120,25032,Nochebuena Plata M05210,988
3468,24415,Estrellitas Turquesa M10009,997
2938,27342,Vara C/Acrilico Blanca SEM4423W,1043
3489,24062,Hoja c/Pedreria Blanca A08316,1103
2187,28351,Nochebuena Diaman Oro Ros R05922,1118
2780,25062,Nochebuena Blanca DL63301,1120
2157,28310,Nochebuena Terciopelo Chica Oro R05923,1135
2071,22002,Nochebuena Chica Blanca F054771,1142
3512,26013,Pick de Bolitas Rojo YV3148,1160
3504,27422,Hoja Blanca M21076,1192
3490,27222,Hoja Blanca M21090,1246
2164,28070,Nochebuena c/Clip Oro N06691,1373
2121,25033,Nochebuena Roja M05210,1396
2052,20112,Mariposa Mini Plata R05935,1484
3445,28072,Nochebuena c/Clip Plata N06691,1502
3501,24173,Hoja Maple x3 Rojo C05236,1528
2153,28011,Nochebuena Diamantada Chica Oro Rosado M05124,1536
3180,28110,Nochebuena Oro N06689,1577
2119,25030,Nochebuena Oro M05210,1604
3505,27453,Hoja Tipo Coral Rojo M21047,1608
2053,20113,Mariposa Mini Roja R05935,1673
3466,27093,Helecho Mediano Rojo M21124,1703
2258,28113,Nochebuena Roja N06689,1752
2051,20110,Mariposa Mini Oro R05935,1928
2148,28010,Nochebuena Diamantada Chica Oro M05124,1990
2105,28353,Nochebuena Diaman Roja R05922,1992
2065,20133,Mariposa Chica Roja W4762,2434
2059,20122,Mariposa Chica Blanca W4762,2704
2064,20132,Mariposa Chica Plata W4762,2915
2103,28350,Nochebuena Diaman Oro R05922,3000
2084,24410,Estrellitas Oro M10009,3112
2086,24413,Estrellitas Rojas M10009,3291
2063,20130,Mariposa Chica Oro W4762,3528
2256,28082,Nochebuena Blanca W05240,4932
